title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.street,address.postalCode,position.lat,position.lng,contacts,references,openingHours,address.houseNumber,payment.methods,Cafes,Department Stores,Gyms,Cluster
Monarch,here:pds:place:356tdr4q-6d344f77bbac4d2b92f15c976618ec93,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 13.06086, 'lng': 77.63303}]",10758,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Monarch, Hegde Nagar Main Road, Railway Men Layout, Thanisandra, Bengaluru 560077, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Thanisandra,Railway Men Layout,Hegde Nagar Main Road,560077,13.06092,77.63279,,,,,,1,1,1,2
The Turning Point,here:pds:place:356tdr1y-e60ca61307424f8ab53e2720e3253de3,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.99513, 'lng': 77.61076}]",16093,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","The Turning Point, Saunders Road, Pulakeshi Nagar, Frazer Town, Bengaluru 560005, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Frazer Town,Pulakeshi Nagar,Saunders Road,560005,12.99516,77.61071,[{'phone': [{'value': '+919845031796'}]}],,,,,7,3,12,1
Mathrukrupa,here:pds:place:356jx7ps-7560eab8dea20f5c34ca52a16e9ce515,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.97379, 'lng': 77.54841}]",17875,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Mathrukrupa, 3rd Cross Road, Vidyaranyanagar, Vijaya Nagar, Bengaluru 560040, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Vijaya Nagar,Vidyaranyanagar,3rd Cross Road,560040,12.9738,77.54842,,"[{'supplier': {'id': 'core'}, 'id': '1069436471'}]",,,,6,6,16,0
Matrushree Nilaya,here:pds:place:356jx7ps-b81ab8f7ccb20876122ac01c235a0491,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.97284, 'lng': 77.54712}]",17996,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Matrushree Nilaya, 1st Cross Road, Manuvana, Vijaya Nagar, Bengaluru 560040, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Vijaya Nagar,Manuvana,1st Cross Road,560040,12.97285,77.54715,,"[{'supplier': {'id': 'core'}, 'id': '1130171703'}]",,,,5,6,17,0
Lakshmi Ramachandra Nilaya,here:pds:place:356jx7ps-dd6b49221d160040427bd0ebf489fd38,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.97229, 'lng': 77.55147}]",18008,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Lakshmi Ramachandra Nilaya, 2nd Cross Road, Mallige Garden, Vijaya Nagar, Bengaluru 560023, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Vijaya Nagar,Mallige Garden,2nd Cross Road,560023,12.97229,77.55147,,"[{'supplier': {'id': 'core'}, 'id': '1130197691'}]",,,,7,5,15,0
Sneha Loka,here:pds:place:356tdr1u-9c821dcfc54644f8b53776a87eafdcd0,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.96896, 'lng': 77.54297}]",18485,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Sneha Loka, 3rd Cross Road, Vijaya Nagar, Bengaluru 560040, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Vijaya Nagar,,3rd Cross Road,560040,12.96896,77.54296,,"[{'supplier': {'id': 'core'}, 'id': '1069443698'}]",,,,7,8,20,0
Shree Renukadevi Nilaya,here:pds:place:356tdr1u-e6e45d77ef4b4e59b46e24197efd4931,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.9692, 'lng': 77.54075}]",18493,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Shree Renukadevi Nilaya, 5th Cross Road, Vijaya Nagar, Bengaluru 560040, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Vijaya Nagar,,5th Cross Road,560040,12.96921,77.54075,,"[{'supplier': {'id': 'core'}, 'id': '1069443235'}]","[{'text': ['Mon-Sun: 08:00 - 20:00'], 'isOpen': True, 'structured': [{'start': 'T080000', 'duration': 'PT12H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",,,9,7,20,0
Sagar Villa,here:pds:place:356jx7ps-ca44e2b401870945a8e7a073edbaae1f,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.96862, 'lng': 77.54176}]",18540,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Sagar Villa, 1st Main Road, Vijaya Nagar, Bengaluru 560040, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Vijaya Nagar,,1st Main Road,560040,12.96863,77.54173,,"[{'supplier': {'id': 'core'}, 'id': '1069443497'}]",,,,7,7,20,0
Shree Geragamma Adhibyrava Nilaya,here:pds:place:356tdr1u-aff47b6bfa5c4060af86cab455a1e57e,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.96817, 'lng': 77.5419}]",18596,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Shree Geragamma Adhibyrava Nilaya, Vijaya Nagar, Bengaluru 560040, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Vijaya Nagar,,,560040,12.9681,77.54186,,"[{'supplier': {'id': 'core'}, 'id': '1069443521'}]",,,,7,7,20,0
Malu's Shanthiniketan,here:pds:place:356jx7ps-3c3d8c53eb120c0d0cdfcf3c2682bfd1,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.96709, 'lng': 77.54283}]",18691,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '300-3000-0023', 'name': 'Tourist Attraction'}, {'id': '550-5510-0379', 'name': 'Outdoor Service'}, {'id': '550-5520-0210', 'name': 'Wildlife Refuge'}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}, {'id': '800-8600-0197', 'name': 'Sports Activities'}]","Malu's Shanthiniketan, 1 1st Main Road, Vijaya Nagar, Bengaluru 560040, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Vijaya Nagar,,1st Main Road,560040,12.9671,77.54284,"[{'phone': [{'value': '+919880847001'}], 'www': [{'value': 'http://www.smttourpackages.com', 'categories': [{'id': '300-3000-0023'}, {'id': '550-5510-0379'}, {'id': '550-5520-0210'}, {'id': '700-7200-0324'}, {'id': '800-8600-0197'}]}]}]","[{'supplier': {'id': 'core'}, 'id': '1069442972'}, {'supplier': {'id': 'tripadvisor'}, 'id': '22821680'}]","[{'categories': [{'id': '550-5520-0210'}, {'id': '300-3000-0023'}, {'id': '800-8600-0197'}, {'id': '700-7200-0324'}, {'id': '550-5510-0379'}], 'text': ['Mon-Sat: 10:00 - 20:00'], 'isOpen': True, 'structured': [{'start': 'T100000', 'duration': 'PT10H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA'}]}]",1,,7,6,20,0
Fortune Associates,here:pds:place:356tdr1y-8f145e89e6744196b0ffaa5b156b9174,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 12.97829, 'lng': 77.6362}]",18807,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7250-0136', 'name': 'Business Facility'}]","Fortune Associates, C M H Road, 2nd Stage, Indira Nagar, Bengaluru 560038, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Indira Nagar,2nd Stage,C M H Road,560038,12.97836,77.63624,[{'phone': [{'value': '+918041211515'}]}],,,,"[{'id': 'mastercard', 'accepted': True}]",17,2,20,1
